place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0014420,Sandella Indonesian Teak Furniture,sandella indonesian teak furniture,shopping,furniture,Colombo,,Western,6.8754392,79.8909474,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014421,SANDELLE HOLIDAY RESORT,sandelle holiday resort,accommodation,Bangalows,Anuradhapura,Anuradhapura,,,,,official_tourism,Bungalows.xlsx | Information for Accommodation.csv,official_tourism,Bungalows.xlsx | Information for Accommodation.csv
PLC0014422,Sandesa Multimedia Center,sandesa multimedia center,shopping,video_games,Colombo,,Western,6.8060622,79.9173053,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014423,Sandhagiri Walauwa,sandhagiri walauwa,food,restaurant,Ratnapura,,Sabaragamuwa,6.6474959,80.6975587,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014424,Sandhagiri Walawwa,sandhagiri walawwa,accommodation,hotel,Ratnapura,,Sabaragamuwa,6.6472925,80.6976331,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014425,Sandra Guesthouse,sandra guesthouse,accommodation,guest_house,Matale,Dambulla,Central,7.8511587,80.6545985,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014426,Sandra Lanka,sandra lanka,shopping,convenience,Galle,,Southern,6.1406821,80.1021432,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014427,SANDRIANA LAKE VIEW,sandriana lake view,accommodation,Guest Houses,Kandy,Kandy,,7.2881025,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
PLC0014428,Sandu Hotel,sandu hotel,food,restaurant,Nuwara Eliya,,Central,7.0802408,80.893311,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014429,SANDUL VILLA,sandul villa,accommodation,Home Stay Units,Kalutara,Beruwala Pradeshiya Sabha,,6.4616673,,,official_tourism,Home Stay Units.xlsx | Information for Accommodation.csv,official_tourism,Home Stay Units.xlsx | Information for Accommodation.csv
PLC0014430,SANDUN ELECTRONICS,sandun electronics,shopping,electronics,Kalutara,,Western,6.7523781,79.909584,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014431,Sandun Gems,sandun gems,shopping,jewelry,Trincomalee,,Eastern,8.6806378,81.2011757,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014432,Sandupura Wine Stories,sandupura wine stories,shopping,wine,Ampara,,Eastern,7.672323,81.0457492,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014433,Sandy Beach Hotel,sandy beach hotel,accommodation,hotel,Ampara,,Eastern,6.8477332,81.8313405,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014434,Sandy Beach Restaurant,sandy beach restaurant,food,restaurant,Ampara,,Eastern,6.8475848,81.8317121,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
